,added_at,is_local,added_by.type,track.album.album_type,track.album.id,track.album.name,track.album.release_date,track.album.release_date_precision,track.album.total_tracks,track.album.type,track.disc_number,track.duration_ms,track.episode,track.explicit,track.external_ids.isrc,track.is_local,track.name,track.popularity,track.track,track.track_number,track.type,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,time_signature
0,2020-12-01T05:02:00Z,False,user,album,4yP0hdKOZPNshxUOjY0cZj,After Hours,2020-03-20,day,14,album,1,200040,False,False,USUG11904206,False,Blinding Lights,96,True,9,track,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,0VjIjW4GlUZAMYd2vXMi3b,4
1,2020-12-01T05:02:00Z,False,user,single,31IDBea3eEs57a0joX6TjN,Dance Monkey,2019-05-10,day,1,album,1,209754,False,False,QZES71982312,False,Dance Monkey,68,True,1,track,0.825,0.593,6,-6.401,0,0.0988,0.688,0.000161,0.17,0.54,98.078,1rgnBhdG2JDFTbYkYRZAku,4
2,2020-12-01T05:02:00Z,False,user,album,52u4anZbHd6UInnmHRFzba,Please Excuse Me For Being Antisocial,2019-12-06,day,16,album,1,196652,False,True,USAT21906978,False,The Box,87,True,2,track,0.896,0.586,10,-6.687,0,0.0559,0.104,0.0,0.79,0.642,116.971,0nbXyq5TXYPCO7pr3N8S4I,4
3,2020-12-01T05:02:00Z,False,user,single,6XcYTEonLIpg9NpAbJnqrC,Roses (Imanbek Remix),2019-09-13,day,1,album,1,176218,False,True,RUB421901499,False,Roses - Imanbek Remix,66,True,1,track,0.785,0.721,8,-5.457,1,0.0506,0.0149,0.00432,0.285,0.894,121.962,2Wo6QQD1KMDWeFkkjLqwx5,4
4,2020-12-01T05:02:00Z,False,user,album,7fJJK56U9fHixgO0HQkhtI,Future Nostalgia,2020-03-27,day,11,album,1,183290,False,False,GBAHT1901121,False,Don't Start Now,83,True,2,track,0.793,0.793,11,-4.521,0,0.083,0.0123,0.0,0.0951,0.679,123.95,3PfIrDoz19wz7qK7tYeu62,4
5,2020-12-01T05:02:00Z,False,user,album,623PL2MBg50Br5dLXC9E9e,BLAME IT ON BABY,2020-04-17,day,13,album,1,181733,False,True,USUM72007941,False,ROCKSTAR (feat. Roddy Ricch),90,True,7,track,0.746,0.69,11,-7.956,1,0.164,0.247,0.0,0.101,0.497,89.977,7ytR5pFWmSjzHJIeQkgog4,4
6,2020-12-01T05:02:00Z,False,user,album,7xV2TzoaVc0ycW7fwBwAml,Fine Line,2019-12-13,day,12,album,1,174000,False,False,USSM11912587,False,Watermelon Sugar,90,True,2,track,0.548,0.816,0,-4.209,1,0.0465,0.122,0.0,0.335,0.557,95.39,6UelLqGlWMcVH1E5c4H7lY,4
7,2020-12-01T05:02:00Z,False,user,single,2p9gK2BcdrloHNJwarc9gc,death bed (coffee for your head),2020-02-08,day,1,album,1,173333,False,False,USSM12000925,False,death bed (coffee for your head),88,True,1,track,0.726,0.431,8,-8.765,0,0.135,0.731,0.0,0.696,0.348,144.026,7eJMfftS33KTjuF7lTsMCx,4
8,2020-12-01T05:02:00Z,False,user,album,1Hy76RlNvOHe6cpih1RxXq,Nicotine,2020-03-26,day,10,album,1,159381,False,False,USUYG1221109,False,Falling,77,True,10,track,0.784,0.43,10,-8.756,0,0.0364,0.123,0.0,0.0887,0.236,127.087,2rRJrJEo19S2J82BDsQ3F7,4
9,2020-12-01T05:02:00Z,False,user,album,5658aM19fA3JVwTK6eQX70,Divinely Uninspired To A Hellish Extent,2019-05-17,day,12,album,1,182160,False,False,DEUM71807062,False,Someone You Loved,90,True,4,track,0.501,0.405,1,-5.679,1,0.0319,0.751,0.0,0.105,0.446,109.891,7qEHsqek33rTcFNT9PFqLf,4
10,2020-12-01T05:02:00Z,False,user,single,7mKevNHhVnZER3BLgI8O4F,Tusa,2019-11-07,day,1,album,1,200960,False,False,USUM71921183,False,Tusa,86,True,1,track,0.803,0.715,2,-3.28,1,0.298,0.295,0.000134,0.0574,0.574,101.085,7k4t7uLgtOxPwTpFmtJNTY,4
11,2020-12-01T05:02:00Z,False,user,single,6HJDrXs0hpebaRFKA1sF90,ROXANNE,2019-10-10,day,1,album,1,163636,False,True,USSM11914320,False,ROXANNE,85,True,1,track,0.621,0.601,6,-5.616,0,0.148,0.0522,0.0,0.46,0.457,116.735,696DnlkuDOXcMAnKlTgXXK,5
